Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Season
Daniel Barlaser ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Modou Barrow ,Forward,22,,,18.0,,,2.0,8.0,5.0,1.0,,,,,,,,,,2,206,9.36,1.0,28.0,,,,0,0,3,3.0,1,0.0,0.0,1.0,0.0,0.05,0.0,0.0,11.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Gareth Barry ,Midfielder,33,,,96.0,71.0,,6.0,54.0,79.0,33.0,,239.0,193.0,140.0,18.0,56.0,27.0,,1.0,1,2061,62.45,3.0,33.0,27.0,5.0,185.0,5,1,42,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Kyle Bartley ,Defender,5,0.0,6.0,9.0,67.0,0.0,0.0,6.0,29.0,12.0,0.0,13.0,24.0,8.0,1.0,11.0,3.0,0.0,1.0,0,127,25.4,0.0,1.0,0.0,0.0,5.0,2,0,4,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Sebastien Bassong ,Defender,32,4.0,56.0,27.0,74.0,1.0,3.0,53.0,256.0,151.0,1.0,136.0,155.0,83.0,11.0,95.0,41.0,0.0,2.0,0,882,27.56,0.0,2.0,0.0,0.0,74.0,4,0,25,3.0,1,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Asmir Begovic ,Goalkeeper,17,4.0,24.0,,,,,,,,,,,,,,,0.0,1.0,0,336,19.76,0.0,,,,81.0,0,0,0,,0,,,,0.0,,,,,,,,55.0,0.0,8.0,17.0,12.0,6.0,69.0,106.0,2015-16
Valon Behrami ,Midfielder,21,,,66.0,71.0,,0.0,49.0,10.0,5.0,,96.0,100.0,103.0,4.0,12.0,25.0,,1.0,1,508,24.19,1.0,3.0,67.0,1.0,9.0,3,1,33,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Essaïd Belkalem ,Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Héctor Bellerín ,Defender,36,18.0,33.0,58.0,81.0,0.0,5.0,66.0,85.0,31.0,0.0,164.0,166.0,147.0,62.0,39.0,39.0,0.0,0.0,5,1689,46.92,9.0,109.0,17.0,9.0,33.0,3,0,19,1.0,1,0.0,0.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Yohan Benalouane ,Defender,4,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,1.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0,14,3.5,0.0,1.0,0.0,0.0,0.0,1,0,3,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
